id,project_name,date_posted,department,description,skills
1,Hatity,12/25/2020,Accounting,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",'ipython'
2,Matsoft,7/27/2020,Engineering,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",'filelock'
3,Namfix,5/10/2020,Research and Development,Phasellus in felis. Donec semper sapien a libero. Nam dui.,"'packaging', 'google-api-core', 'paramiko'"
4,Zathin,3/18/2020,Business Development,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.","'ptyprocess', 'multidict', 'itsdangerous', 'aiohttp'"
5,Bytecard,12/11/2020,Accounting,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.","'pandas', 'multidict'"
6,Andalax,10/24/2020,Human Resources,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.","'httplib2', 'pluggy', 'bleach', 'jsonschema', 'colorama'"
7,Mat Lam Tam,3/22/2020,Legal,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",'google-auth'
8,Daltfresh,8/12/2020,Sales,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","'bleach', 'jinja2'"
9,Stringtough,5/20/2020,Sales,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,"'google-api-core', 'jinja2', 'future', 'google-cloud-bigquery'"
10,Bytecard,4/3/2020,Marketing,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","'zipp', 'ptyprocess', 'pyzmq', 'itsdangerous', 'typing-extensions'"
11,Tresom,10/19/2020,Marketing,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","'fsspec', 'multidict', 'simplejson', 'cffi'"
12,Job,1/24/2020,Training,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",'entrypoints'
13,Wrapsafe,11/13/2020,Marketing,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,"'colorama', 'google-api-core'"
14,Ventosanzap,6/10/2020,Business Development,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.","'matplotlib', 'defusedxml', 'attrs', 'backcall'"
15,Cookley,8/29/2020,Engineering,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","'appdirs', 'grpcio', 'azure-core', 'absl-py'"
16,Tres-Zap,12/24/2020,Human Resources,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.","'werkzeug', 'zipp', 'wrapt', 'matplotlib'"
17,Gembucket,12/14/2020,Product Management,Fusce consequat. Nulla nisl. Nunc nisl.,"'cryptography', 'wheel', 'ipython', 'bcrypt'"
18,Stringtough,6/7/2020,Research and Development,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.","'pytest', 'idna', 'pyrsistent', 'appdirs', 'traitlets'"
19,Stim,3/27/2020,Legal,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,"'pycparser', 'pyyaml', 'pyarrow', 'wheel', 'pycparser'"
20,Sub-Ex,7/19/2020,Business Development,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","'pyrsistent', 'protobuf', 'pycparser', 'absl-py', 'jsonschema'"
21,Alphazap,9/1/2020,Marketing,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","'pyjwt', 'traitlets', 'futures', 'simplejson'"
